leg_case,leg_stat,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADM,CRT_RESL,P_HTHAB,UKC-L	: 	739.00 	702.63 	1388.88 	1643.00 	1318.97 	1382.97 	1284.08 	1182.52 	1045.29 
ADM,CRT_RESL,P_HTHAB,UKN	402.38 	: 	400.57 	421.43 	418.03 	482.92 	497.14 	601.55 	580.73 	526.84 
ADM,CRT_RESL,P_HTHAB,XK	127.16 	135.70 	: 	: 	: 	: 	66.55 	45.65 	60.81 	107.19 
CIV_COM,CRT_BGHT,NR,AL	68843 	64140 	44155 	47733 	35587 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,AT	484821 	501191 	506260 	535966 	553941 	567222 	599601 	639396 	654845 	: 
CIV_COM,CRT_BGHT,NR,BA	68862 	78513 	82101 	86752 	104106 	106561 	89551 	103305 	110687 	87818 
CIV_COM,CRT_BGHT,NR,BE	: 	: 	804507 	790684 	804280 	805153 	827854 	823076 	: 	: 
CIV_COM,CRT_BGHT,NR,BG	350375 	303442 	308040 	286459 	316623 	353134 	378043 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,CH	: 	: 	: 	: 	: 	313832 	: 	199672 	: 	92688 
CIV_COM,CRT_BGHT,NR,CZ	862303 	858034 	942781 	2231184 	2215269 	2312818 	2929324 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,DE	1512723 	1603998 	1747836 	1735914 	1788728 	1806149 	1868005 	1905391 	1618243 	1835106 
CIV_COM,CRT_BGHT,NR,DK	44509 	45368 	45773 	45978 	48565 	50649 	58741 	67624 	68239 	64444 
CIV_COM,CRT_BGHT,NR,EE	30179 	30452 	30703 	27842 	27890 	26276 	29575 	32720 	29522 	: 
CIV_COM,CRT_BGHT,NR,EL	200426 	146569 	230518 	241418 	294435 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,ES	1683321 	1525035 	1757592 	1638447 	1517458 	1581777 	1538285 	1765845 	1802455 	1496646 
CIV_COM,CRT_BGHT,NR,FI	468471 	412449 	414711 	412299 	447253 	470478 	377605 	341133 	354478 	273206 
CIV_COM,CRT_BGHT,NR,FR	: 	: 	2472817 	2473406 	2496776 	2410327 	2267016 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,HR	430702 	459716 	439738 	486680 	599686 	620394 	639543 	624633 	136398 	137508 
CIV_COM,CRT_BGHT,NR,HU	244492 	262081 	244960 	246696 	247811 	172992 	194038 	204318 	197666 	192821 
CIV_COM,CRT_BGHT,NR,IS	6195 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CIV_COM,CRT_BGHT,NR,IT	3478323 	3664595 	3535559 	3987733 	3981884 	4106381 	4245947 	4255714 	4839466 	4603126 
